study_name,source_file,source_sheet,individual_id,label,intervention,measurement,substance,tissue,method,time,time_unit,concentration,concentration_unit
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind7,cirrhotic_ind7,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,37.98587,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind7,cirrhotic_ind7,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,24.191248,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind8,cirrhotic_ind8,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,32.125095,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind8,cirrhotic_ind8,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,27.751692,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind9,cirrhotic_ind9,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,28.01161,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind9,cirrhotic_ind9,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,23.827578,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind10,cirrhotic_ind10,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,29.467825,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind10,cirrhotic_ind10,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,21.198847,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind11,cirrhotic_ind11,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,28.580956,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind11,cirrhotic_ind11,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,23.70832,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind12,cirrhotic_ind12,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,26.48689,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind12,cirrhotic_ind12,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,21.198345,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind13,cirrhotic_ind13,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,26.62002,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind13,cirrhotic_ind13,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,12.307749,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind14,cirrhotic_ind14,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,26.217257,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind14,cirrhotic_ind14,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,17.12768,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind15,cirrhotic_ind15,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,26.755398,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind15,cirrhotic_ind15,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,17.12559,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind16,cirrhotic_ind16,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,25.173126,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind16,cirrhotic_ind16,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,15.786177,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind17,cirrhotic_ind17,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,26.615406,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind17,cirrhotic_ind17,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,11.462639,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind18,cirrhotic_ind18,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,20.751696,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind18,cirrhotic_ind18,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,12.75329,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind19,cirrhotic_ind19,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,26.35069,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind19,cirrhotic_ind19,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,13.149077,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind20,cirrhotic_ind20,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,23.677807,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind20,cirrhotic_ind20,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,8.581034,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind21,cirrhotic_ind21,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,18.09353,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind21,cirrhotic_ind21,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,10.303131,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind22,cirrhotic_ind22,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,16.764885,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind22,cirrhotic_ind22,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,7.712378,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind23,cirrhotic_ind23,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,18.46594,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind23,cirrhotic_ind23,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,5.9836187,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind24,cirrhotic_ind24,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,14.466266,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind24,cirrhotic_ind24,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,10.676356,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind25,cirrhotic_ind25,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,11.807625,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind25,cirrhotic_ind25,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,2.2671208,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind26,cirrhotic_ind26,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,8.838771,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind26,cirrhotic_ind26,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,3.5453262,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind27,cirrhotic_ind27,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,10.0,hr,13.891882,µmol/l
Jost1987,Jost1987.xlsx,Fig2,cirrhotic_ind27,cirrhotic_ind27,"caff_12am, caff_4pm",concentration,caffeine,saliva,EMIT,20.0,hr,1.8785741,µmol/l
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,2.36,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,2.14,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,1.85,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,1.38,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,0.78,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,0.44,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,0.25,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-001,QPD-001_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.07,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,3.46,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,2.89,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,2.66,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,2.55,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,2.15,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,1.5,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,1.16,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.63,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-002,QPD-002_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.12,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,3.46,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,2.89,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,2.66,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,2.55,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,2.15,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,1.5,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,1.16,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.63,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-003,QPD-003_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.12,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,2.95,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,2.75,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,2.38,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,2.11,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,1.73,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,1.31,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,1.02,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.54,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-004,QPD-004_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.14,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,3.05,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,2.59,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,2.28,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,1.87,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,1.49,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,1.2,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,1.01,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.52,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-005,QPD-005_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.13,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,1.41,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,1.55,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,1.47,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,1.37,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,1.18,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,0.92,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,0.61,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.37,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-006,QPD-006_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.11,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,3.37,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,3.36,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,3.16,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,2.8,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,2.6,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,2.36,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,2.1,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,1.6,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-007,QPD-007_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.76,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,4.23,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,3.75,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,3.64,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,3.47,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,3.35,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,3.19,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,2.78,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,2.48,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-008,QPD-008_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,1.68,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,3.31,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,3.02,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,2.67,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,2.52,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,2.16,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,1.92,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,1.47,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.87,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig1,QPD-009,QPD-009_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.26,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,3.056,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,2.652,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,2.366,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,2.092,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,1.66,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,1.19,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,0.92,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,0.478,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,control_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.1275,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.166666666666667,hr,3.08,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,0.5,hr,2.92,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.0,hr,2.735,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,1.5,hr,2.54,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.0,hr,2.3225,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,2.5,hr,2.0975,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,3.0,hr,1.74,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,4.0,hr,1.33,µg/ml
PVLDrugs,PVLDrugs.xlsx,Fig2,,pod1_caffeine,"MID2, CAF5, COD2",concentration,caffeine,plasma,HPLC MS/MS,6.0,hr,0.7025,µg/ml
